chengyu,pinyin,english_definition,category,sub_category
独占鳌头,dú zhàn áo tóu,"to come first in triennial palace examinations (idiom, refers to the carved stone turtle head in front of the imperial palace, next to which the most successful candidate in the imperial examinations was entitled to stand)/to be the champion/to be the very best in any field",动物名称成语 animal name idioms,【鱼虫Fish and Insects】
井底之蛙,jǐng dǐ zhī wā,the frog at the bottom of the well (idiom)/fig. a person of limited outlook and experience,动物名称成语 animal name idioms,【鱼虫Fish and Insects】
瓮中捉鳖,wèng zhōng zhuō biē,lit. to catch a turtle in a jar (idiom)/fig. to catch sth that has no way to escape,动物名称成语 animal name idioms,【鱼虫Fish and Insects】
虾兵蟹将,xiā bīng xiè jiàng,"shrimp soldiers and crab generals (in mythology or popular fiction, the army of the Dragon King of the Eastern Sea)/useless troops (idiom)",动物名称成语 animal name idioms,【鱼虫Fish and Insects】
鹬蚌相争,yù bàng xiāng zhēng,"abbr. for 鷸蚌相爭，漁翁得利|鹬蚌相争，渔翁得利[yu4 bang4 xiang1 zheng1 , yu2 weng1 de2 li4]",动物名称成语 animal name idioms,【鱼虫Fish and Insects】
沉鱼落雁,chén yú luò yàn,"lit. fish sink, goose alights (idiom, from Zhuangzi 莊子|庄子[Zhuang1 zi3]); fig. female beauty captivating even the birds and beasts",动物名称成语 animal name idioms,【鱼虫Fish and Insects】
飞蛾扑火,fēi é pū huǒ,the moth flies into the flame/fatal attraction,动物名称成语 animal name idioms,【鱼虫Fish and Insects】
金蝉脱壳,jīn chán tuō qiào,lit. the cicada sheds its carapace (idiom); fig. to vanish leaving an empty shell/a crafty escape plan,动物名称成语 animal name idioms,【鱼虫Fish and Insects】
积蚊成雷,jī wén chéng léi,,动物名称成语 animal name idioms,【鱼虫Fish and Insects】
蟾宫折挂,chán gōng zhé guà,,动物名称成语 animal name idioms,【鱼虫Fish and Insects】
蚕食鲸吞,cán shí jīng tūn,lit. to nibble like a silkworm or swallow like a whale (idiom)/fig. to seize (territory etc) incrementally or wholesale,动物名称成语 animal name idioms,【鱼虫Fish and Insects】
蜻蜓点水,qīng tíng diǎn shuǐ,lit. the dragonfly touches the water lightly/superficial contact (idiom),动物名称成语 animal name idioms,【鱼虫Fish and Insects】
蛛丝马迹,zhū sī mǎ jì,lit. spider's thread and horse track/tiny hints (of a secret)/traces/clue,动物名称成语 animal name idioms,【鱼虫Fish and Insects】
螳螂捕蝉，黄雀在后,táng láng bǔ chán ， huáng què zài hòu,"the mantis stalks the cicada, unaware of the oriole behind (idiom, from Daoist classic Zhuangzi 莊子|庄子[Zhuang1 zi3]); to pursue a narrow gain while neglecting a greater danger",动物名称成语 animal name idioms,【鱼虫Fish and Insects】
鱼目混珠,yú mù hùn zhū,to pass off fish eyes for pearls/to pass off fake products as genuine (idiom),动物名称成语 animal name idioms,【鱼虫Fish and Insects】
蜂拥而至,fēng yōng ér zhì,to arrive in huge numbers/to flock there,动物名称成语 animal name idioms,【鱼虫Fish and Insects】
蛊惑人心,gǔ huò rén xīn,to stir up public sentiment by false statements (idiom)/to resort to demagogy,动物名称成语 animal name idioms,【鱼虫Fish and Insects】
物腐虫生,wù fǔ chóng shēng,,动物名称成语 animal name idioms,【鱼虫Fish and Insects】
漏网之鱼,lòu wǎng zhī yú,a fish that escaped the net (idiom)/(fig.) sb or sth that slips through the net,动物名称成语 animal name idioms,【鱼虫Fish and Insects】
海市蜃楼,hǎi shì shèn lóu,mirage (lit. or fig.),动物名称成语 animal name idioms,【鱼虫Fish and Insects】
堤溃蚁穴,dī kuì yǐ xué,,动物名称成语 animal name idioms,【鱼虫Fish and Insects】
鹤立鸡群,hè lì jī qún,a crane in a flock of chicken (idiom); way above the common/manifestly superior,动物名称成语 animal name idioms,【鱼虫Fish and Insects】
鸡鸣狗盗,jī míng gǒu dào,crowing like a cock and stealing like a dog (idiom)/bag of tricks/useful talents,动物名称成语 animal name idioms,【含有两个动物名称的成语 Idioms containing two animal names】
鹬蚌相争,yù bàng xiāng zhēng,"abbr. for 鷸蚌相爭，漁翁得利|鹬蚌相争，渔翁得利[yu4 bang4 xiang1 zheng1 , yu2 weng1 de2 li4]",动物名称成语 animal name idioms,【含有两个动物名称的成语 Idioms containing two animal names】
蚕食鲸吞,cán shí jīng tūn,lit. to nibble like a silkworm or swallow like a whale (idiom)/fig. to seize (territory etc) incrementally or wholesale,动物名称成语 animal name idioms,【含有两个动物名称的成语 Idioms containing two animal names】
蛛丝马迹,zhū sī mǎ jì,lit. spider's thread and horse track/tiny hints (of a secret)/traces/clue,动物名称成语 animal name idioms,【含有两个动物名称的成语 Idioms containing two animal names】
龙争虎斗,lóng zhēng hǔ dòu,"lit. the dragon wars, the tiger battles (idiom); fierce battle between giants",动物名称成语 animal name idioms,【含有两个动物名称的成语 Idioms containing two animal names】
龙马精神,lóng mǎ jīng shén,old but still full of vitality (idiom),动物名称成语 animal name idioms,【含有两个动物名称的成语 Idioms containing two animal names】
龙飞凤舞,lóng fēi fèng wǔ,flamboyant or bold cursive calligraphy (idiom),动物名称成语 animal name idioms,【含有两个动物名称的成语 Idioms containing two animal names】
龙腾虎跃,lóng téng hǔ yuè,lit. dragon soaring and tiger leaping (idiom)/fig. prosperous and bustling/vigorous and active,动物名称成语 animal name idioms,【含有两个动物名称的成语 Idioms containing two animal names】
龙骧虎步,lóng xiāng hǔ bù,,动物名称成语 animal name idioms,【含有两个动物名称的成语 Idioms containing two animal names】
龙潭虎穴,lóng tán hǔ xué,lit. dragon's pool and tiger's den (idiom)/fig. dangerous place/hostile territory,动物名称成语 animal name idioms,【含有两个动物名称的成语 Idioms containing two animal names】
龙跃凤鸣,lóng yuè fèng míng,,动物名称成语 animal name idioms,【含有两个动物名称的成语 Idioms containing two animal names】
车水马龙,chē shuǐ mǎ lóng,endless stream of horse and carriages (idiom)/heavy traffic,动物名称成语 animal name idioms,【含有两个动物名称的成语 Idioms containing two animal names】
指鹿为马,zhǐ lù wéi mǎ,making a deer out to be a horse (idiom); deliberate misrepresentation,动物名称成语 animal name idioms,【含有两个动物名称的成语 Idioms containing two animal names】
兔死狐悲,tù sǐ hú bēi,"lit. if the rabbit dies, the fox grieves (idiom); fig. to have sympathy with a like-minded person in distress",动物名称成语 animal name idioms,【含有两个动物名称的成语 Idioms containing two animal names】
鸡犬不宁,jī quǎn bù níng,lit. not even the chickens and dogs are left undisturbed (idiom)/fig. great commotion/pandemonium,动物名称成语 animal name idioms,【含有两个动物名称的成语 Idioms containing two animal names】
心猿意马,xīn yuán yì mǎ,"lit. heart like a frisky monkey, mind like a cantering horse (idiom); fig. capricious (derog.)/to have ants in one's pants/hyperactive/adventurous and uncontrollable",动物名称成语 animal name idioms,【含有两个动物名称的成语 Idioms containing two animal names】
狼吞虎咽,láng tūn hǔ yàn,to wolf down one's food (idiom); to devour ravenously/to gorge oneself,动物名称成语 animal name idioms,【含有两个动物名称的成语 Idioms containing two animal names】
开花结果,kāi huā jié guǒ,,带植物成语 Idioms with plants,
斩草除根,zhǎn cǎo chú gēn,to cut weeds and eliminate the roots (idiom); to destroy root and branch/to eliminate completely,带植物成语 Idioms with plants,
顺藤摸瓜,shùn téng mō guā,lit. to follow the vine to get to the melon/to track sth following clues,带植物成语 Idioms with plants,
披荆斩棘,pī jīng zhǎn jí,lit. to cut one's way through thistles and thorns (idiom)/fig. to overcome all obstacles on the way/to break through hardships/to blaze a new trail,带植物成语 Idioms with plants,
奇花异果,qí huā yì guǒ,,带植物成语 Idioms with plants,
投桃报李,tóu táo bào lǐ,"toss a peach, get back a plum (idiom); to return a favor/to exchange gifts/Scratch my back, and I'll scratch yours.",带植物成语 Idioms with plants,
粗枝大叶,cū zhī dà yè,thick stems and broad leaves (idiom)/boorish/rough and ready/sloppy,带植物成语 Idioms with plants,
春兰秋菊,chūn lán qiū jú,,带植物成语 Idioms with plants,
火树银花,huǒ shù yín huā,display of fireworks and lanterns,带植物成语 Idioms with plants,
叶落归根,yè luò guī gēn,"a falling leaf returns to the roots (idiom); everything has its ancestral home/In old age, an expatriate longs to return home.",带植物成语 Idioms with plants,
节外生枝,jié wài shēng zhī,(idiom) new problems arise unexpectedly,带植物成语 Idioms with plants,
李代桃僵,lǐ dài táo jiāng,lit. the plum tree withers in place of the peach tree/to substitute one thing for another/to carry the can for sb,带植物成语 Idioms with plants,
树大根深,shù dà gēn shēn,,带植物成语 Idioms with plants,
瓜熟蒂落,guā shú dì luò,"when the melon is ripe, it falls (idiom); problems sort themselves out in the fullness of time",带植物成语 Idioms with plants,
根深蒂固,gēn shēn dì gù,deep-rooted (problem etc),带植物成语 Idioms with plants,
柳暗花明,liǔ àn huā míng,"lit. the willow trees make the shade, the flowers give the light (idiom); at one's darkest hour, a glimmer of hope/light at the end of the tunnel",带植物成语 Idioms with plants,
桃红柳绿,táo hóng liǔ lǜ,,带植物成语 Idioms with plants,
瓜田李下,guā tián lǐ xià,"abbr. for 瓜田不納履，李下不整冠|瓜田不纳履，李下不整冠[gua1 tian2 bu4 na4 lu:3 , li3 xia4 bu4 zheng3 guan1]",带植物成语 Idioms with plants,
风扫落叶,fēng sǎo luò yè,,带植物成语 Idioms with plants,
布帛蔬栗,bù bó shū lì,,带植物成语 Idioms with plants,
出水芙蓉,chū shuǐ fú róng,as a lotus flower breaking the surface (idiom); surpassingly beautiful (of young lady's face or old gentleman's calligraphy),带植物成语 Idioms with plants,
一枕黄粱,yī zhěn huáng liáng,,带植物成语 Idioms with plants,
视入草芥,shì rù cǎo jiè,,带植物成语 Idioms with plants,
雨后春笋,yǔ hòu chūn sǔn,"lit. after rain, the spring bamboo (idiom); fig. rapid new growth/many new things emerge in rapid succession",带植物成语 Idioms with plants,
昙花一现,tán huā yī xiàn,lit. the night-blooming cactus shows once/flash in the pan (idiom)/short-lived,带植物成语 Idioms with plants,
明日黄花,míng rì huáng huā,lit. chrysanthemums after the Double Ninth Festival (idiom)/fig. outdated/thing of the past/dead letter,带植物成语 Idioms with plants,
横生枝节,héng shēng zhī jié,to deliberately complicate an issue (idiom),带植物成语 Idioms with plants,
草菅人命,cǎo jiān rén mìng,to have disregard for human life (idiom),带植物成语 Idioms with plants,
草木皆兵,cǎo mù jiē bīng,lit. every tree or bush an enemy soldier (idiom); fig. to panic and treat everyone as an enemy/to feel beleaguered,带植物成语 Idioms with plants,
桑榆暮景,sāng yú mù jǐng,,带植物成语 Idioms with plants,
黄粱美梦,huáng liáng měi mèng,dream of golden millet/fig. illusions of wealth and power/pipe dream,带植物成语 Idioms with plants,
荆棘丛生,jīng jí cóng shēng,,带植物成语 Idioms with plants,
花枝招展,huā zhī zhāo zhǎn,lit. lovely scene of blossoming plants swaying in the breeze (idiom)/fig. gorgeously dressed (woman),带植物成语 Idioms with plants,
豆蔻年华,dòu kòu nián huá,(of a girl) 13 or 14 years old; early teens; adolescence,带植物成语 Idioms with plants,
天女散花,tiān nǚ sàn huā,,带植物成语 Idioms with plants,
如火如荼,rú huǒ rú tú,like wildfire (idiom)/unstoppable,带植物成语 Idioms with plants,
名列前茅,míng liè qián máo,to rank among the best,带植物成语 Idioms with plants,
锦上添花,jǐn shàng tiān huā,lit. add flowers to brocade (idiom)/fig. to give sth additional splendor/to provide the crowning touch/(derog.) to benefit sb who is already well off,带植物成语 Idioms with plants,
囫囵吞枣,hú lún tūn zǎo,to swallow in one gulp (idiom)/(fig.) to accept without thinking/to lap up,带植物成语 Idioms with plants,
火中取栗,huǒ zhōng qǔ lì,lit. to pull chestnuts out of the fire (idiom)/fig. to be sb's cat's-paw,带植物成语 Idioms with plants,
目光如豆,mù guāng rú dòu,short-sighted/limited vision,带植物成语 Idioms with plants,
沧海一粟,cāng hǎi yī sù,a drop in the ocean (idiom),带植物成语 Idioms with plants,
胸有成竹,xiōng yǒu chéng zhú,(idiom) to have a well thought out plan in mind,带植物成语 Idioms with plants,
春暖花开,chūn nuǎn huā kāi,,带植物成语 Idioms with plants,
三顾茅庐,sān gù máo lú,lit. to make three visits to the thatched cottage (idiom) (allusion to an episode in Romance of the Three Kingdoms 三國演義|三国演义[San1 guo2 Yan3 yi4] in which Liu Bei 劉備|刘备[Liu2 Bei4] recruits Zhuge Liang 諸葛亮|诸葛亮[Zhu1 ge3 Liang4] to his cause by visiting him three times)/fig. to make earnest and repeated requests of sb,带植物成语 Idioms with plants,
世外桃源,shì wài táo yuán,see 桃花源[tao2 hua1 yuan2],带植物成语 Idioms with plants,
鸟语花香,niǎo yǔ huā xiāng,lit. birdsong and fragrant flowers (idiom); fig. the intoxication of a beautiful spring day,带植物成语 Idioms with plants,
风吹草动,fēng chuī cǎo dòng,lit. grass stirring in the wind (idiom)/fig. the slightest whiff of trouble,带植物成语 Idioms with plants,
鸡毛蒜皮,jī máo suàn pí,lit. chicken feathers and garlic skins (idiom)/fig. trivial (matter),带植物成语 Idioms with plants,
繁花似锦,fán huā sì jǐn,,带植物成语 Idioms with plants,
借花献佛,jiè huā xiàn fó,lit. presenting the Buddha with borrowed flowers (idiom); fig. to win favor or influence using sb else's property/plagiarism,带植物成语 Idioms with plants,
滚瓜烂熟,gǔn guā làn shú,lit. ripe as a melon that rolls from its vine (idiom); fig. to know fluently/to know sth inside out/to know sth by heart,带植物成语 Idioms with plants,
枯木逢春,kū mù féng chūn,lit. the spring comes upon a withered tree (idiom)/fig. to get a new lease on life/to be revived/(of a difficult situation) to suddenly improve,带植物成语 Idioms with plants,
望梅止渴,wàng méi zhǐ kě,lit. to quench one's thirst by thinking of plums (idiom)/fig. to console oneself with illusions,带植物成语 Idioms with plants,
拔苗助长,bá miáo zhù zhǎng,to spoil things through excessive enthusiasm (idiom),带植物成语 Idioms with plants,
五谷不分,wǔ gǔ bù fēn,,带植物成语 Idioms with plants,
花容月貌,huā róng yuè mào,"lit. countenance of a flower, face like the moon (idiom)/fig. (of a woman) beautiful",带植物成语 Idioms with plants,
叶落知秋,yè luò zhī qiū,,带植物成语 Idioms with plants,
树大招风,shù dà zhāo fēng,lit. a tall tree attracts the wind (idiom)/fig. a famous or rich person attracts criticism,带植物成语 Idioms with plants,
藕断丝连,ǒu duàn sī lián,"lit. lotus roots may break, but the fiber remains joined (idiom); lovers part, but still long for one another",带植物成语 Idioms with plants,
萍水相逢,píng shuǐ xiāng féng,strangers coming together by chance (idiom),带植物成语 Idioms with plants,
草长莺飞,cǎo zhǎng yīng fēi,,带植物成语 Idioms with plants,
花团锦簇,huā tuán jǐn cù,brightly colored decorations (idiom)/splendid,带植物成语 Idioms with plants,
面无人色,miàn wú rén sè,ashen-faced,带人体成语 Idioms about the human body,
心旷神怡,xīn kuàng shén yí,"lit. heart untroubled, spirit pleased (idiom); carefree and relaxed",带人体成语 Idioms about the human body,
耳熟能详,ěr shú néng xiáng,what's frequently heard can be repeated in detail (idiom),带人体成语 Idioms about the human body,
心花怒放,xīn huā nù fàng,to burst with joy (idiom)/to be over the moon/to be elated,带人体成语 Idioms about the human body,
蒙头转向,mēng tóu zhuàn xiàng,to lose one's bearings/utterly confused,带人体成语 Idioms about the human body,
满面春风,mǎn miàn chūn fēng,beaming/radiant with happiness,带人体成语 Idioms about the human body,
屈指可数,qū zhǐ kě shǔ,can be counted on one's fingers (idiom)/very few,带人体成语 Idioms about the human body,
满目疮痍,mǎn mù chuāng yí,a scene of devastation meets the eye everywhere one looks (idiom),带人体成语 Idioms about the human body,
铁面无私,tiě miàn wú sī,strictly impartial and incorruptible (idiom),带人体成语 Idioms about the human body,
令人发指,lìng rén fà zhǐ,(idiom) to make one feel a sense of revulsion; abhorrent; heinous; deeply disturbing,带人体成语 Idioms about the human body,
出人头地,chū rén tóu dì,to stand out among one's peers (idiom)/to excel,带人体成语 Idioms about the human body,
魂不附体,hún bù fù tǐ,lit. body and soul separated (idiom); fig. scared out of one's wits/beside oneself,带人体成语 Idioms about the human body,
食不果腹,shí bù guǒ fù,lit. food not filling the stomach (idiom)/fig. poverty-stricken,带人体成语 Idioms about the human body,
不绝于耳,bù jué yú ěr,(of sound) to never stop/to fall incessantly on the ear/to linger on,带人体成语 Idioms about the human body,
爱不释手,ài bù shì shǒu,(idiom) to like sth so much that one is reluctant to put it down; to find sth utterly irresistible,带人体成语 Idioms about the human body,
面黄肌瘦,miàn huáng jī shòu,lit. face yellow and body emaciated (idiom)/fig. malnourished and sickly in appearance,带人体成语 Idioms about the human body,
口干舌燥,kǒu gān shé zào,lit. dry mouth and tongue (idiom); to talk too much,带人体成语 Idioms about the human body,
劈头盖脸,pī tóu gài liǎn,lit. splitting the head and covering the face (idiom); fig. pelting (with rain etc)/showering down,带人体成语 Idioms about the human body,
提心吊胆,tí xīn diào dǎn,(saying) to be very scared and on edge,带人体成语 Idioms about the human body,
评头论足,píng tóu lùn zú,lit. to assess the head and discuss the feet (idiom); minute criticism of a woman's appearance/fig. to find fault in minor details/to remark upon a person's appearance/nitpicking/overcritical/judgmental,带人体成语 Idioms about the human body,
肺腑之言,fèi fǔ zhī yán,words from the bottom of one's heart,带人体成语 Idioms about the human body,
心口如一,xīn kǒu rú yī,lit. heart and mouth as one (idiom); to say what you think/honest and straightforward,带人体成语 Idioms about the human body,
身外之物,shēn wài zhī wù,mere worldly possessions,带人体成语 Idioms about the human body,
足不出户,zú bù chū hù,lit. not putting a foot outside/to stay at home,带人体成语 Idioms about the human body,
手无寸铁,shǒu wú cùn tiě,lit. not an inch of steel (idiom); unarmed and defenseless,带人体成语 Idioms about the human body,
心事重重,xīn shì chóng chóng,to have a lot on one's mind/to be laden with anxiety,带人体成语 Idioms about the human body,
满腔热忱,mǎn qiāng rè chén,full of enthusiasm,带人体成语 Idioms about the human body,
促膝谈心,cù xī tán xīn,to sit side-by-side and have a heart-to-heart talk (idiom),带人体成语 Idioms about the human body,
信手拈来,xìn shǒu niān lái,,带人体成语 Idioms about the human body,
灭顶之灾,miè dǐng zhī zāi,,带人体成语 Idioms about the human body,
另眼相看,lìng yǎn xiāng kàn,to treat sb favorably/to view in a new light,带人体成语 Idioms about the human body,
腥风血雨,xīng fēng xuè yǔ,lit. foul wind and bloody rain (idiom)/fig. reign of terror/carnage,带人体成语 Idioms about the human body,
喜笑颜开,xǐ xiào yán kāi,grinning from ear to ear (idiom)/beaming with happiness,带人体成语 Idioms about the human body,
大打出手,dà dǎ chū shǒu,"to come to blows/to start a fight/(derived from the term for a type of theatrical fight scene, 打出手[da3 chu1 shou3])",带人体成语 Idioms about the human body,
失之交臂,shī zhī jiāo bì,to miss narrowly/to let a great opportunity slip,带人体成语 Idioms about the human body,
汗流浃背,hàn liú jiā bèi,to sweat profusely (idiom)/drenched in sweat,带人体成语 Idioms about the human body,
光彩夺目,guāng cǎi duó mù,dazzling/brilliant,带人体成语 Idioms about the human body,
心惊肉跳,xīn jīng ròu tiào,"lit. heart alarmed, body leaping (idiom); fear and trepidation in the face of disaster",带人体成语 Idioms about the human body,
面红耳赤,miàn hóng ěr chì,flushed with anger (or excitement),带人体成语 Idioms about the human body,
拳打脚踢,quán dǎ jiǎo tī,lit. to punch and kick (idiom); to beat up/fig. determined to sort out a problem,带人体成语 Idioms about the human body,
鹤发童颜,hè fà tóng yán,,带人体成语 Idioms about the human body,
赏心悦目,shǎng xīn yuè mù,warms the heart and delights the eye (idiom)/pleasing/delightful,带人体成语 Idioms about the human body,
抓耳挠腮,zhuā ěr náo sāi,"to tweak one's ears and scratch one's cheeks (as an expression of anxiety, delight, frustration etc) (idiom)",带人体成语 Idioms about the human body,
浓眉大眼,nóng méi dà yǎn,thick eyebrows and big eyes,带人体成语 Idioms about the human body,
血肉相连,xuè ròu xiāng lián,one's own flesh and blood (idiom); closely related,带人体成语 Idioms about the human body,
毛骨悚然,máo gǔ sǒng rán,to have one's hair stand on end (idiom)/to feel one's blood run cold,带人体成语 Idioms about the human body,
手足无措,shǒu zú wú cuò,at a loss to know what to do (idiom); bewildered,带人体成语 Idioms about the human body,
掩人耳目,yǎn rén ěr mù,to fool people (idiom)/to pull the wool over people's eyes,带人体成语 Idioms about the human body,
铁石心肠,tiě shí xīn cháng,to have a heart of stone/hard-hearted/unfeeling,带人体成语 Idioms about the human body,
病入膏肓,bìng rù gāo huāng,lit. the disease has attacked the vitals (idiom); fig. beyond cure/the situation is hopeless,带人体成语 Idioms about the human body,
沁人肺腑,qìn rén fèi fǔ,,带人体成语 Idioms about the human body,
血流成河,xuè liú chéng hé,rivers of blood (idiom)/bloodbath,带人体成语 Idioms about the human body,
口若悬河,kǒu ruò xuán hé,mouth like a torrent (idiom)/eloquent/glib/voluble/have the gift of the gab,带人体成语 Idioms about the human body,
面不改色,miàn bù gǎi sè,,带人体成语 Idioms about the human body,
眉飞色舞,méi fēi sè wǔ,smiles of exultation/radiant with delight,带人体成语 Idioms about the human body,
两手空空,liǎng shǒu kōng kōng,empty-handed (idiom); fig. not receiving anything,带人体成语 Idioms about the human body,
信口开河,xìn kǒu kāi hé,to speak without thinking (idiom)/to blurt sth out,带人体成语 Idioms about the human body,
垂头丧气,chuí tóu sàng qì,hanging one's head dispiritedly (idiom); dejected/crestfallen,带人体成语 Idioms about the human body,
满腹牢骚,mǎn fù láo sāo,lit. belly full of complaints (idiom)/discontent/always moaning and complaining,带人体成语 Idioms about the human body,
燃眉之急,rán méi zhī jí,lit. the fire burns one's eyebrows (idiom); fig. desperate situation/extreme emergency,带人体成语 Idioms about the human body,
挖空心思,wā kōng xīn sī,to dig for thoughts (idiom); to search everything for an answer/to rack one's brains,带人体成语 Idioms about the human body,
绞尽脑汁,jiǎo jìn nǎo zhī,to rack one's brains,带人体成语 Idioms about the human body,
义愤填膺,yì fèn tián yīng,righteous indignation fills one's breast (idiom); to feel indignant at injustice,带人体成语 Idioms about the human body,
引人注目,yǐn rén zhù mù,to attract attention/eye-catching/conspicuous,带人体成语 Idioms about the human body,
泰山压顶,tài shān yā dǐng,,带人体成语 Idioms about the human body,
皮开肉绽,pí kāi ròu zhàn,flesh lacerated from corporal punishment (idiom),带人体成语 Idioms about the human body,
心灵手巧,xīn líng shǒu qiǎo,capable/clever/dexterous,带人体成语 Idioms about the human body,
举手投足,jǔ shǒu tóu zú,one's every movement (idiom)/comportment/gestures,带人体成语 Idioms about the human body,
点头哈腰,diǎn tóu hā yāo,to nod one's head and bow (idiom); bowing and scraping/unctuous fawning,带人体成语 Idioms about the human body,
肥头大耳,féi tóu dà ěr,fat; plump; chubby,带人体成语 Idioms about the human body,
心腹之患,xīn fù zhī huàn,lit. calamity within one's bosom (idiom); major trouble hidden within,带人体成语 Idioms about the human body,
心心相印,xīn xīn xiāng yìn,two hearts beat as one (idiom); a kindred spirit,带人体成语 Idioms about the human body,
唇齿相依,chún chǐ xiāng yī,lit. as close as lips and teeth (idiom); closely related/interdependent,带人体成语 Idioms about the human body,
骨肉相连,gǔ ròu xiāng lián,lit. interrelated as bones and flesh (idiom); inseparably related/closely intertwined,带人体成语 Idioms about the human body,
至亲骨肉,zhì qīn gǔ ròu,,带人体成语 Idioms about the human body,
徒费唇舌,tú fèi chún shé,,带人体成语 Idioms about the human body,
痛入骨髓,tòng rù gǔ suǐ,,带人体成语 Idioms about the human body,
趾高气扬,zhǐ gāo qì yáng,high and mighty (idiom); arrogant,带人体成语 Idioms about the human body,
筋疲力尽,jīn pí lì jìn,"body weary, strength exhausted (idiom); extremely tired/spent",带人体成语 Idioms about the human body,
目不暇接,mù bù xiá jiē,lit. too much for the eye to take in (idiom); a feast for the eyes,带人体成语 Idioms about the human body,
破口大骂,pò kǒu dà mà,to abuse roundly,带人体成语 Idioms about the human body,
闭目塞听,bì mù sè tīng,to shut one's eyes and stop one's ears/out of touch with reality/to bury one's head in the sand,带人体成语 Idioms about the human body,
扬眉吐气,yáng méi tǔ qì,,带人体成语 Idioms about the human body,
怒发冲冠,nù fà chōng guān,lit. hair stands up in anger and tips off one's hat (idiom)/fig. seething in anger/raise one's hackles,带人体成语 Idioms about the human body,
切齿痛恨,qiè chǐ tòng hèn,,带人体成语 Idioms about the human body,
掩耳盗铃,yǎn ěr dào líng,lit. to cover one's ears whilst stealing a bell/to deceive oneself/to bury one's head in the sand (idiom),带人体成语 Idioms about the human body,
病从口入,bìng cóng kǒu rù,Illness enters by the mouth (idiom). Mind what you eat!/fig. A loose tongue may cause a lot of trouble.,带人体成语 Idioms about the human body,
扣人心弦,kòu rén xīn xián,to excite/to thrill/exciting/thrilling/cliff-hanging,带人体成语 Idioms about the human body,
浪子回头,làng zǐ huí tóu,the return of a prodigal son (idiom),带人体成语 Idioms about the human body,
成竹在胸,chéng zhú zài xiōng,see 胸有成竹[xiong1 you3 cheng2 zhu2],带人体成语 Idioms about the human body,
不堪回首,bù kān huí shǒu,,带人体成语 Idioms about the human body,
眼明手快,yǎn míng shǒu kuài,sharp-sighted and deft,带人体成语 Idioms about the human body,
胆战心惊,dǎn zhàn xīn jīng,to tremble with fear (idiom)/scared witless,带人体成语 Idioms about the human body,
摩拳擦掌,mó quán cā zhǎng,fig. to rub one's fists and wipe one's palms (idiom)/to roll up one's sleeves for battle/eager to get into action or start on a task,带人体成语 Idioms about the human body,
慈眉善目,cí méi shàn mù,"kind brows, pleasant eyes (idiom); amiable looking/benign-faced",带人体成语 Idioms about the human body,
没头没脑,méi tóu méi nǎo,,带人体成语 Idioms about the human body,
肝肠寸断,gān cháng cùn duàn,lit. liver and guts cut to pieces (idiom)/fig. grief-stricken,带人体成语 Idioms about the human body,
耳目众多,ěr mù zhòng duō,,带人体成语 Idioms about the human body,
肝胆相照,gān dǎn xiāng zhào,to treat one another with absolute sincerity (idiom); to show total devotion,带人体成语 Idioms about the human body,
恨入骨髓,hèn rù gǔ suǐ,,带人体成语 Idioms about the human body,
感人肺腑,gǎn rén fèi fǔ,,带人体成语 Idioms about the human body,
了如指掌,liǎo rú zhǐ zhǎng,variant of 了如指掌[liao3 ru2 zhi3 zhang3],带人体成语 Idioms about the human body,
眼花缭乱,yǎn huā liáo luàn,to be dazzled,带人体成语 Idioms about the human body,
骨瘦如柴,gǔ shòu rú chái,as thin as a match/emaciated (idiom),带人体成语 Idioms about the human body,
脚踏实地,jiǎo tà shí dì,to have one's feet firmly planted on the ground (idiom); realistic without flights of fancy/steady and serious character,带人体成语 Idioms about the human body,
夺眶而出,duó kuàng ér chū,,带人体成语 Idioms about the human body,
惊心动魄,jīng xīn dòng pò,(idiom) heart-stopping; hair-raising; breathtaking,带人体成语 Idioms about the human body,
俯首听命,fǔ shǒu tīng mìng,,带人体成语 Idioms about the human body,
接踵而来,jiē zhǒng ér lái,to come one after the other,带人体成语 Idioms about the human body,
挺身而出,tǐng shēn ér chū,to step forward bravely,带人体成语 Idioms about the human body,
唾手可得,tuò shǒu kě dé,easily obtained/readily available,带人体成语 Idioms about the human body,
咬紧牙关,yǎo jǐn yá guān,lit. to bite the teeth tightly (idiom); fig. to grit one's teeth and bear the pain/to bite the bullet,带人体成语 Idioms about the human body,
为国捐躯,wèi guó juān qū,,带人体成语 Idioms about the human body,
良药苦口,liáng yào kǔ kǒu,good medicine tastes bitter (idiom); fig. frank criticism is hard to swallow,带人体成语 Idioms about the human body,
掉以轻心,diào yǐ qīng xīn,to treat sth lightly; to lower one's guard,带人体成语 Idioms about the human body,
恨之入骨,hèn zhī rù gǔ,to hate sb to the bone (idiom),带人体成语 Idioms about the human body,
耳聪目明,ěr cōng mù míng,sharp ears and keen eyes (idiom)/keen and alert/perceptive,带人体成语 Idioms about the human body,
唇亡齿寒,chún wáng chǐ hán,"lit. without the lips, the teeth feel the cold (idiom); fig. intimately interdependent",带人体成语 Idioms about the human body,
头重脚轻,tóu zhòng jiǎo qīng,top-heavy/fig. unbalance in organization or political structure,带人体成语 Idioms about the human body,
粉身碎骨,fěn shēn suì gǔ,lit. torn body and crushed bones (idiom)/fig. to die horribly; to sacrifice one's life,带人体成语 Idioms about the human body,
